Rides,Bus,Scenarios,Objective Value,Savings,Time,Gap
3,2,10,50.19665573952736,-13.624906460194634,103.76709175109863,
4,2,10,56.83979907401565,-45.07448256721735,141.76674461364746,
5,2,10,83.32171507535756,-29.169934007954474,251.94894313812256,
6,2,10,104.4329688142767,-40.44447918080322,463.632933139801,
7,2,10,160.48910760760631,-90.40875949641449,765.0966837406158,
9,3,10,125.47006628512973,-50.35834398130386,6907.29167675972,
10,3,10,145.6706386390678,9.30088613481185,4859.106899738312,
11,3,10,179.93515603478318,-162.27669397751367,6571.91558265686,
13,4,10,145.85926519765053,-88.33990102101399,13649.619341611862,
15,4,10,236.5103192822998,-71.13860446401237,15922.799096345901,
18,5,10,263.0131487374003,-48.66363725584889,30081.801401615143,
20,5,10,306.1303310002104,-96.8928176803332,23247.400686979294,
22,6,10,321.16451357493423,-64.27693491123273,36109.98098087311,
24,6,10,346.2062154952051,-122.46696883317004,112398.06356430054,
25,7,10,303.0340079225954,-103.24101799135829,112474.72421097755,
3,2,20,53.47881195949956,-10.342750240222438,21.562904119491577,
4,2,20,49.49963746140484,-41.414644179828166,40.953877210617065,
5,2,20,85.6049812330291,-26.886667850282947,85.53297138214111,
6,2,20,107.73139658908258,-37.146051405997355,162.97175574302673,
7,2,20,172.6240482896908,22.85582851294236,257.12982869148254,
9,3,20,123.01386940744048,-36.462984738334924,1440.5264003276825,
10,3,20,130.95328504534507,-33.48673379008069,1042.8461787700653,
11,3,20,169.88594786059613,-113.52823476303101,1615.3093404769897,
